player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Bijan Robinson,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,334.66,1542.11,11.42,54.14,73.79,410.41,2.67,305.84,1,17,
Jahmyr Gibbs,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,261.25,1280.4,12.62,60.07,82.24,496.76,3.44,303.51,2,18,
Saquon Barkley,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,326.51,1590.69,10.95,53.65,75,383.59,2.56,303.13,3,19,
Christian McCaffrey,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,232.34,1094.65,7.5,80.57,108.91,713.67,4.98,294.98,4,20,
De'Von Achane,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,264.14,1275.83,8.73,62.24,78.77,408.55,2.75,267.76,5,30,
Jonathan Taylor,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,291.75,1382.11,12.86,31.49,42.88,188.49,1.28,253.3,6,39,
Derrick Henry,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,303.03,1455.44,13.67,7.93,10.42,72.35,0.48,238.84,7,45,
Josh Jacobs,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,279.39,1165.19,10.49,31.87,43.95,266.11,1.6,227.55,8,49,
Breece Hall,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,247.17,1112.67,7.61,44.17,61.01,321.83,2.08,216.58,9,55,
Kyren Williams,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,244.3,1086.39,10.04,35.73,46.63,231.47,1.48,214.65,10,57,
Bucky Irving,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,230.05,1080.17,8.12,37.89,47.18,279.55,1.8,212.24,11,58,
Chase Brown,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,241.06,1052.21,7.85,40.79,52.16,292.73,1.98,211.83,12,60,
Ashton Jeanty,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,245.25,1168.24,7.46,32.67,42.3,245.33,1.24,207.45,13,62,
James Conner,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,221.72,1000.47,8.89,36.14,45.12,265.98,1.65,204.14,14,64,
James Cook,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,243.77,1149.87,8.04,24.35,33.21,212.84,1.39,204.01,15,65,
Kenneth Walker III,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,215.19,923.37,7.63,38.44,51.22,287.37,1.68,194.79,16,67,
Alvin Kamara,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,230.49,940.88,5.29,43.99,60.01,298.71,2.2,190.21,17,70,
Chuba Hubbard,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,252.78,1073.77,7.4,31.38,43.31,194.61,0.98,188.83,18,71,
Aaron Jones,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,224.21,1001.67,5.48,41.34,59.66,261.71,2.3,188.25,19,72,
Isiah Pacheco,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,213.38,934.22,6.94,36,46.1,241.55,1.38,183.42,20,77,
David Montgomery,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,190.45,835.5,8.02,26.04,35.24,222.86,1.32,173.08,21,81,
Omarion Hampton,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,183.62,810.58,6.65,33.85,45.4,260.63,1.77,172.53,22,83,
Tony Pollard,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,217.56,966.74,5.42,32.6,42.71,196.1,1.16,170.46,23,86,
Jerome Ford,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,218.41,932.28,4.39,30.79,41.38,226.86,1.24,165.09,24,88,
D'Andre Swift,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,217.53,938.94,6.13,24.48,33.78,177.69,0.97,164.84,25,90,
Jaylen Warren,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,179.97,800.61,4.58,40.64,54.7,275.61,1.67,160.74,26,94,
Travis Etienne,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,170.8,729.1,4.63,39.88,55.57,299.39,1.48,158.43,27,95,
Austin Ekeler,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,116.09,497.73,5.33,43.34,54.96,365.56,2.57,150.84,28,108,
TreVeyon Henderson,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,225.49,952.09,5.69,15.94,21.34,124.42,0.57,150.74,29,109,
Joe Mixon,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,177.48,718.35,5.38,32.54,43.61,215.79,1.38,150.58,30,110,
Javonte Williams,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,197.27,811.11,3.62,34.95,48.14,201.02,1.25,145.55,31,113,
Zach Charbonnet,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,168.4,715.66,5.22,25.53,34.17,188.37,1.1,141.09,32,118,
Tyrone Tracy Jr.,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,178.29,760.38,4.79,29.85,43.66,207.08,0.96,140.49,33,119,
J.K. Dobbins,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,138.79,666.43,5.74,25.84,34.52,167.99,1.35,139.02,34,121,
Dylan Sampson,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,160.47,674.27,3.06,35.05,47.31,273.91,1.38,136.28,35,123,
Jacory Croskey-Merritt,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,176.66,745.66,5.7,17.67,21.99,128.09,0.84,133.43,36,125,
Najee Harris,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,137.71,553.14,4.72,28.98,39.72,203.56,1.52,127.62,37,128,
RJ Harvey,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,153.14,678.24,5.41,17.21,23.01,128.75,0.91,125.78,38,129,
Kaleb Johnson,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,140,619.21,4.58,24.27,32.83,180.72,1.07,124.33,39,130,
Jordan Mason,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,141.85,640.75,5.15,18.17,24.87,128.49,0.91,119.77,40,134,
Rachaad White,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,104.35,420.77,2.66,38.75,47.18,296.47,1.98,116.62,41,136,
Tyjae Spears,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,131.79,555.49,3.48,24.3,31.11,176.69,0.85,109.69,42,143,
Woody Marks,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,98.85,416.46,3.07,32.62,43.61,235.16,1.48,107.37,43,145,
Tank Bigsby,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,148.31,623.34,4.44,13.92,19.44,102.65,0.53,105.88,44,147,
Cam Skattebo,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,130.75,574.96,3.3,19.6,27.29,152.02,0.67,104.6,45,148,
Jaylen Wright,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,151.96,636.91,3.86,13.52,17.5,88.66,0.55,103.86,46,152,
MarShawn Lloyd,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,116.81,493.08,3.86,16.12,21.97,123.16,0.9,96.72,47,162,
Rhamondre Stevenson,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,110.34,479.63,2.79,25.64,34.7,152.83,0.93,93.93,48,166,
Blake Corum,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,90.46,379.15,2.71,27.08,34.97,199.81,1.04,92.96,49,167,
Zamir White,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,112.31,464.25,2.24,22.95,31.02,163.23,0.93,91.02,50,169,
Kareem Hunt,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,83.04,325.02,3.27,23.98,31.82,172.69,1.28,89.06,51,175,
Jaleel McLaughlin,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,47.85,207.58,1.1,42.11,57.53,248.51,2.45,87.28,52,176,
Khalil Herbert,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,98.06,437.75,3.14,15.87,21.44,96.43,0.63,82.61,53,187,
Trey Benson,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,113.28,483.89,3.86,6.57,8.45,49.26,0.32,80.04,54,194,
Rico Dowdle,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,91.89,397.32,2.22,15.66,21.68,112.03,0.52,73.85,55,200,
Antonio Gibson,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,67.17,282.49,1.64,23.81,32.02,196.1,0.94,73.66,56,201,
Tyler Allgeier,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,102.18,448.86,2.65,8.25,10.94,65.03,0.35,73.51,57,202,
Brian Robinson,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,96.17,402.17,2.51,11.36,15.64,97.71,0.62,73.35,58,205,
Braelon Allen,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,89.88,374.82,2.72,12.9,17.52,91.4,0.55,72.01,59,207,
Raheem Mostert,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,54.98,268.41,2.05,21.42,28.22,161,0.85,70.37,60,210,
Nick Chubb,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,80.86,395.05,2.91,8.46,11.63,65.62,0.39,69.7,61,216,
A.J. Dillon,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,95.68,396.42,2.85,7.54,9.98,62.73,0.33,68.43,62,219,
Roschon Johnson,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,87,359.71,2.78,8.37,11.25,56.26,0.33,63.76,63,222,
Jaydon Blue,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,93.08,394.34,2.08,8.84,12.05,61.43,0.34,63.34,64,223,
Keaton Mitchell,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,68.86,302.27,1.81,13.54,18.24,103.89,0.89,62.91,65,225,
Tahj Brooks,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,68.32,286.8,1.61,14.52,19.55,101.78,0.73,58.94,66,232,
Bhayshul Tuten,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,67.42,284.46,1.42,15.48,22.21,111.26,0.68,58.65,67,234,
Ray Davis,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,76.18,318.29,2.15,8.17,11.06,68.63,0.45,58.04,68,235,
Devin Singletary,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,66.56,293.25,1.64,13.42,19.1,95.49,0.44,56.72,69,236,
Kimani Vidal,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,66.56,277.84,1.77,12.07,17.04,93.28,0.71,56.67,70,237,
Cordarrelle Patterson,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,40.02,183.87,1.28,19.2,27.34,154.32,1,56.08,71,239,
Audric Estime,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,47.85,201.23,1.48,17.2,23.01,127.24,0.88,54.51,72,244,
Miles Sanders,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,79.78,374.39,1.67,4.12,6.04,22.36,0.17,51.75,73,250,
Chris Rodriguez Jr.,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,75.7,324.56,1.98,4.24,5.5,30.09,0.18,49.39,74,251,
Kendre Miller,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,62.43,263.62,1.77,8.14,10.91,57.76,0.36,48.65,75,252,
Samaje Perine,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,36.17,149.14,0.89,17.82,22.81,150.99,0.88,48.54,76,254,
Emanuel Wilson,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,60.93,264.33,1.62,7.77,10.99,55.51,0.5,47.91,77,255,
Cam Akers,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,62.43,259.99,1.67,8.17,10.91,55.08,0.37,47.49,78,256,
Sean Tucker,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,71.15,307.53,1.7,4.49,5.91,32.38,0.22,46.72,79,258,
Kenneth Gainwell,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,59.99,252.96,1.65,7.69,10.95,53.95,0.34,45.4,80,262,
Ty Johnson,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,27.93,120.63,0.73,15.41,22.14,151.31,0.91,44.32,81,264,
Pierre Strong Jr.,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,44.59,191.36,0.87,13.07,17.72,102.4,0.5,43.45,82,266,
Justice Hill,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,44.06,190.88,1.47,7.97,10.42,60.6,0.49,40.55,83,274,
Devin Neal,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,48.02,204.38,1.37,8.17,10.91,55.6,0.36,39.78,84,277,
Raheem Blackshear,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,45.97,194.07,1.08,7.58,10.85,56.07,0.28,35.6,85,284,
Michael Carter,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,19.27,81.57,0.53,16.75,22.55,113.07,0.8,35.48,86,286,
Ronnie Rivers,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,63.34,266.97,1.46,0,0,0,0,34.82,87,287,
Craig Reynolds,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,12.21,51.73,0.29,16.72,23.51,134.82,1.01,34.47,88,288,
Travis Homer,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,38.93,168.33,0.81,8.12,11.25,62.03,0.34,33.62,89,290,
Isaac Guerendo,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,45.03,194.95,1.33,2.01,2.77,16.47,0.17,30.13,90,299,
Julius Chestnut,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,20.87,87.55,0.38,12.47,16.52,91.43,0.5,29.05,91,302,
Isaiah Davis,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,39.95,170.87,0.94,3.61,5.07,25.21,0.17,27.47,92,304,
Ty Chandler,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,32.01,134.61,0.9,4.62,6.49,31.25,0.23,25.68,93,312,
Jeff Wilson,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,25.91,114.25,0.72,6.17,9.1,48.74,0.37,25.58,94,313,
Ollie Gordon II,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,23.38,98.94,0.48,8.73,11.68,56.49,0.39,24.79,95,315,
DJ Giddens,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,22.07,93,0.58,7.7,10.7,50.56,0.35,23.45,96,319,
Clyde Edwards-Helaire,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,19.2,81.41,0.48,7.76,10.91,57.88,0.4,23.09,97,321,
Elijah Mitchell,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,27.31,119.63,0.71,4.57,6.13,33.31,0.2,23.04,98,322,
Jordan Mims,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,31.69,133.09,0.61,4.34,5.83,30.77,0.18,22.92,99,323,
Kenny McIntosh,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,16.37,70.25,0.35,8.17,11.38,60.11,0.39,21.22,100,327,
Deuce Vaughn,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,17.73,73.92,0.32,8.52,12.05,56.65,0.34,20.94,101,328,
Kyle Juszczyk,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,5.7,23.89,0.18,7.73,11.06,73.78,0.49,17.31,102,336,
Eric Gray,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,23.79,99.22,0.46,3.82,5.45,28.24,0.17,17.14,103,337,
Frank Gore Jr.,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,20.32,85.54,0.44,3.91,5.54,30.02,0.21,17.07,104,338,
Dameon Pierce,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,8.96,37.36,0.18,8.37,11.63,54.54,0.43,17.04,105,339,
Gary Brightwell,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,16.08,67.35,0.38,4.83,6.52,34.22,0.22,15.83,106,340,
Will Shipley,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,14.07,58.88,0.34,3.68,5,26.72,0.17,13.12,107,356,
Emari Demercado,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,9.64,42.61,0.28,4.2,5.65,28.56,0.18,11.98,108,365,
Darrynton Evans,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,10.14,42.53,0.19,3.86,5.54,30.85,0.21,11.67,109,367,
Patrick Ricard,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,8.26,34.55,0.31,3.97,5.22,28.09,0.23,11.49,110,369,
Trey Sermon,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,9.98,41.4,0.19,3.89,5.47,27.39,0.17,10.98,111,370,
DeeJay Dallas,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,7.23,30.71,0.17,4.31,5.65,28.78,0.19,9.92,112,374,
Troy Hairston,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,4.44,19.68,0.17,4.56,5.9,35.8,0.17,9.87,113,375,
Zonovan Knight,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,4.82,20.11,0.17,4.24,5.65,30.65,0.19,9.36,114,376,
Elijah Dotson,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,5.11,21.73,0.17,3.92,5.47,28.22,0.17,9,115,377,
Terrell Jennings,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,4.81,20.14,0.11,3.81,5.35,29.02,0.17,8.5,116,382,
Velus Jones,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,4.81,20.89,0.17,3.89,5.45,27.03,0.17,8.44,117,383,
Carson Steele,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,8.77,36.47,0.17,2.25,3.08,16.85,0.17,8.16,118,387,
Brashard Smith,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,10.19,42.82,0.24,1.1,1.46,8.48,0.05,7.26,119,394,
Dare Ogunbowale,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,2.24,9.16,0,4.03,5.82,29.51,0.17,6.9,120,396,
Avery Williams,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,2.82,11.98,0,3.69,5,25.68,0.17,6.63,121,401,
Alec Ingold,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,4.68,19.32,0.16,2.19,2.92,15.29,0.16,6.48,122,403,
Israel Abanikanda,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,4.86,20.47,0.16,1.93,2.77,14.58,0.17,6.45,123,404,
Hunter Luepke,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,2.22,9.35,0,2.12,3.01,14.67,0.05,3.76,124,416,
Trayveon Williams,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,2.39,10.23,0,1.93,2.67,14.01,0.05,3.69,125,417,
Michael Burton,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
C.J. Ham,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Jeremy McNichols,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Andrew Beck,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Jakob Johnson,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Reggie Gilliam,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Demetric Felton,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Hassan Haskins,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Tyler Badie,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Zach Evans,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Evan Hull,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Chris Brooks,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Brady Russell,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Tyler Goodson,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Dylan Laube,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
British Brooks,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Sione Vaki,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Chris Collier,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Blake Watson,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
D.J. Williams,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Dante Miller,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Rasheen Ali,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
George Holani,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Cody Schrader,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Quinshon Judkins,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,